"theta","items","measurement"
1.26,"madde_1",0.564636291803029
1.27,"madde_1",0.567092904965455
1.28,"madde_1",0.569546223939229
1.29,"madde_1",0.571996132931519
1.3,"madde_1",0.574442516811659
1.31,"madde_1",0.576885261132046
1.32,"madde_1",0.579324252148749
1.33,"madde_1",0.581759376841836
1.34,"madde_1",0.584190522935407
1.35,"madde_1",0.58661757891733
1.36,"madde_1",0.589040434058665
1.37,"madde_1",0.59145897843278
1.38,"madde_1",0.593873102934143
1.39,"madde_1",0.596282699296788
1.4,"madde_1",0.598687660112452
1.41,"madde_1",0.60108787884837
1.42,"madde_1",0.603483249864726
1.43,"madde_1",0.60587366843176
1.44,"madde_1",0.608259030746515
1.45,"madde_1",0.610639233949222
1.46,"madde_1",0.613014176139336
1.47,"madde_1",0.615383756391182
1.48,"madde_1",0.617747874769249
1.49,"madde_1",0.62010643234309
1.5,"madde_1",0.622459331201855
1.51,"madde_1",0.624806474468429
1.52,"madde_1",0.627147766313196
1.53,"madde_1",0.629483111967395
1.54,"madde_1",0.631812417736102
1.55,"madde_1",0.634135591010801
1.56,"madde_1",0.636452540281566
1.57,"madde_1",0.638763175148842
1.58,"madde_1",0.641067406334817
1.59,"madde_1",0.643365145694402
1.6,"madde_1",0.645656306225796
1.61,"madde_1",0.64794080208065
1.62,"madde_1",0.650218548573827
1.63,"madde_1",0.652489462192744
1.64,"madde_1",0.654753460606319
1.65,"madde_1",0.657010462673499
1.66,"madde_1",0.659260388451385
1.67,"madde_1",0.661503159202952
1.68,"madde_1",0.663738697404353
1.69,"madde_1",0.66596692675182
1.7,"madde_1",0.668187772168166
1.71,"madde_1",0.670401159808869
1.72,"madde_1",0.67260701706776
1.73,"madde_1",0.674805272582314
1.74,"madde_1",0.676995856238523
1.75,"madde_1",0.679178699175393
1.76,"madde_1",0.681353733789026
1.77,"madde_1",0.683520893736316
1.78,"madde_1",0.685680113938254
1.79,"madde_1",0.68783133058284
1.8,"madde_1",0.689974481127613
1.81,"madde_1",0.692109504301788
1.82,"madde_1",0.694236340108031
1.83,"madde_1",0.696354929823834
1.84,"madde_1",0.698465216002539
1.85,"madde_1",0.700567142473973
1.86,"madde_1",0.702660654344732
1.87,"madde_1",0.704745697998091
1.88,"madde_1",0.706822221093568
1.89,"madde_1",0.70889017256612
1.9,"madde_1",0.710949502625004
1.91,"madde_1",0.713000162752282
1.92,"madde_1",0.71504210570099
1.93,"madde_1",0.717075285492973
1.94,"madde_1",0.719099657416384
1.95,"madde_1",0.721115178022863
1.96,"madde_1",0.72312180512439
1.97,"madde_1",0.725119497789823
1.98,"madde_1",0.72710821634113
1.99,"madde_1",0.729087922349307
2,"madde_1",0.731058578630005
2.01,"madde_1",0.733020149238857
2.02,"madde_1",0.734972599466519
2.03,"madde_1",0.73691589583342
2.04,"madde_1",0.738850006084249
2.05,"madde_1",0.740774899182154
2.06,"madde_1",0.742690545302686
2.07,"madde_1",0.744596915827476
2.08,"madde_1",0.746493983337662
2.09,"madde_1",0.748381721607064
2.1,"madde_1",0.750260105595118
2.11,"madde_1",0.75212911143957
2.12,"madde_1",0.753988716448948
2.13,"madde_1",0.755838899094797
2.14,"madde_1",0.757679639003705
2.15,"madde_1",0.759510916949111
2.16,"madde_1",0.76133271484291
2.17,"madde_1",0.763145015726855
2.18,"madde_1",0.764947803763765
2.19,"madde_1",0.766741064228543
2.2,"madde_1",0.768524783499018
2.21,"madde_1",0.770298949046602
2.22,"madde_1",0.772063549426784
2.23,"madde_1",0.773818574269454
2.24,"madde_1",0.775564014269074
2.25,"madde_1",0.777299861174691
2.26,"madde_1",0.779026107779812
2.27,"madde_1",0.780742747912128
2.28,"madde_1",0.782449776423112
2.29,"madde_1",0.784147189177485
2.3,"madde_1",0.785834983042559
2.31,"madde_1",0.787513155877461
2.32,"madde_1",0.789181706522253
2.33,"madde_1",0.790840634786937
2.34,"madde_1",0.792489941440364
2.35,"madde_1",0.794129628199053
2.36,"madde_1",0.795759697715908
2.37,"madde_1",0.79738015356887
2.38,"madde_1",0.798991000249471
2.39,"madde_1",0.800592243151332
2.4,"madde_1",0.802183888558582
2.41,"madde_1",0.803765943634221
2.42,"madde_1",0.805338416408422
2.43,"madde_1",0.806901315766784
2.44,"madde_1",0.808454651438533
2.45,"madde_1",0.809998433984687
2.46,"madde_1",0.811532674786181
2.47,"madde_1",0.813057386031954
2.48,"madde_1",0.814572580707018
2.49,"madde_1",0.816078272580496
2.5,"madde_1",0.817574476193644
2.51,"madde_1",0.819061206847858
2.52,"madde_1",0.820538480592673
2.53,"madde_1",0.822006314213753
2.54,"madde_1",0.823464725220883
2.55,"madde_1",0.82491373183596
2.56,"madde_1",0.826353352980995
2.57,"madde_1",0.827783608266122
2.58,"madde_1",0.829204517977626
2.59,"madde_1",0.830616103065981
2.6,"madde_1",0.832018385133925
2.61,"madde_1",0.83341138642454
2.62,"madde_1",0.834795129809385
2.63,"madde_1",0.836169638776641
2.64,"madde_1",0.837534937419304
2.65,"madde_1",0.838891050423415
2.66,"madde_1",0.840238003056331
2.67,"madde_1",0.841575821155044
2.68,"madde_1",0.842904531114547
2.69,"madde_1",0.844224159876253
2.7,"madde_1",0.845534734916465
2.71,"madde_1",0.846836284234914
2.72,"madde_1",0.848128836343341
2.73,"madde_1",0.849412420254156
2.74,"madde_1",0.850687065469156
2.75,"madde_1",0.851952801968311
2.76,"madde_1",0.853209660198618
2.77,"madde_1",0.854457671063035
2.78,"madde_1",0.855696865909481
2.79,"madde_1",0.856927276519919
2.8,"madde_1",0.858148935099512
2.81,"madde_1",0.859361874265866
2.82,"madde_1",0.86056612703835
2.83,"madde_1",0.861761726827506
2.84,"madde_1",0.86294870742454
2.85,"madde_1",0.864127102990906
2.86,"madde_1",0.865296948047972
2.87,"madde_1",0.866458277466788
2.88,"madde_1",0.867611126457935
2.89,"madde_1",0.868755530561477
2.9,"madde_1",0.869891525637002
2.91,"madde_1",0.871019147853764
2.92,"madde_1",0.872138433680919
2.93,"madde_1",0.873249419877859
2.94,"madde_1",0.874352143484654
2.95,"madde_1",0.875446641812584
2.96,"madde_1",0.876532952434776
2.97,"madde_1",0.877611113176951
2.98,"madde_1",0.878681162108263
2.99,"madde_1",0.879743137532249
3,"madde_1",0.880797077977882
3.01,"madde_1",0.88184302219073
3.02,"madde_1",0.88288100912422
3.03,"madde_1",0.883911077931005
3.04,"madde_1",0.88493326795445
3.05,"madde_1",0.885947618720209
3.06,"madde_1",0.886954169927921
3.07,"madde_1",0.88795296144301
3.08,"madde_1",0.888944033288592
3.09,"madde_1",0.889927425637497
3.1,"madde_1",0.890903178804387
3.11,"madde_1",0.891871333237996
3.12,"madde_1",0.892831929513472
3.13,"madde_1",0.893785008324824
3.14,"madde_1",0.89473061047749
3.15,"madde_1",0.895668776880999
3.16,"madde_1",0.89659954854175
3.17,"madde_1",0.897522966555903
3.18,"madde_1",0.898439072102363
3.19,"madde_1",0.899347906435893
3.2,"madde_1",0.900249510880315
3.21,"madde_1",0.901143926821831
3.22,"madde_1",0.902031195702446
3.23,"madde_1",0.902911359013501
3.24,"madde_1",0.903784458289307
